source,target,link_type,similarity
e3902016-b943-4dfc-b92b-8228002f088d,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.7909
642b74e7-2b61-447b-bb8f-8a9a768714f8,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.8865
642b74e7-2b61-447b-bb8f-8a9a768714f8,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.7737
642b74e7-2b61-447b-bb8f-8a9a768714f8,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7715
642b74e7-2b61-447b-bb8f-8a9a768714f8,14533798-9c62-4138-89eb-1b2c6b5de9e2,RELATES_TO,0.7493
642b74e7-2b61-447b-bb8f-8a9a768714f8,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7435
adef5550-0e07-4bbe-8b9b-ed102350bae0,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.6503
6f1516de-1e15-49cc-b649-b6e3e6b1aa55,642b74e7-2b61-447b-bb8f-8a9a768714f8,RELATES_TO,0.6501
119364db-7e1b-49e0-a65d-899d8e5878db,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.7512
119364db-7e1b-49e0-a65d-899d8e5878db,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7344
119364db-7e1b-49e0-a65d-899d8e5878db,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.7147
119364db-7e1b-49e0-a65d-899d8e5878db,f0087ff3-f56b-455c-8626-78b60f895474,RELATES_TO,0.7120
119364db-7e1b-49e0-a65d-899d8e5878db,0c856d7e-f7cd-441b-82ea-21fd02a08055,RELATES_TO,0.6992
2cd2e554-e160-4b04-a898-ced2ad528e91,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.8026
2cd2e554-e160-4b04-a898-ced2ad528e91,b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,RELATES_TO,0.8021
2cd2e554-e160-4b04-a898-ced2ad528e91,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.7761
2cd2e554-e160-4b04-a898-ced2ad528e91,7f80fd17-d14c-4695-a560-57361c05670d,RELATES_TO,0.7667
adef5550-0e07-4bbe-8b9b-ed102350bae0,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.6550
07b2c1b0-5070-4439-931b-901117221ed4,2cd2e554-e160-4b04-a898-ced2ad528e91,RELATES_TO,0.6911
b4f6b2e7-0ad9-4ae3-ad79-dc639eede0ce,65d6f51f-10e3-402e-acac-25a14fcb22c8,RELATES_TO,0.8338
